study,rescale_mean
Study1,1.56791302396946
Study1,4.6168528541567
Study1,2.93179625538526
Study1,4.06914412871652
Study1,2.81069922355136
Study1,1.91909013382003
Study1,2.26244589877117
Study1,2.26702305035423
Study1,2.93450678847971
Study1,1.02182258915127
Study1,0.454762231028301
Study1,0.775125708529483
Study1,0.663267800052628
Study1,2.12334330786906
Study1,4.80707420486604
Study1,3.62144025373576
Study1,3.11378508595651
Study1,2.51358091917272
Study1,2.24756870421175
Study1,1.0679587912128
Study1,2.35359623233935
Study1,2.62100181850204
Study1,3.23199510526883
Study1,1.70230411075129
Study1,1.96876536406772
Study1,0.388836743083378
Study1,2.51259172278894
Study1,4.8303409993887
Study1,-0.0632764119005489
Study1,3.70732809500039
Study1,2.58073651470134
Study1,0.377467480549875
Study1,1.8093310641139
Study2,2.22696419424457
Study2,3.32294174217598
Study2,3.233490072385
Study2,4.73514797784755
Study2,4.26773478408278
Study2,4.47162668100759
Study2,4.66834372147805
Study2,2.17433319796608
Study2,5.16139428204321
Study2,3.58277762808846
Study2,3.88955225876058
Study2,3.22935567613988
Study2,4.23845065675691
Study2,2.32113364519515
Study2,2.45280776913761
Study2,3.35250523855366
Study2,2.76280033781526
Study2,1.52850551012679
Study2,2.67361799959159
Study2,5.79502221919726
Study2,6.12171325258532
Study2,3.39620428754064
Study2,2.17601598800311
Study2,2.43218529611975
Study2,1.40165403909064
Study2,1.23536238429739
Study2,3.50357311395788
Study2,2.65876173396303
Study3,2.69249808266737
Study3,3.30985735299963
Study3,4.31469911367575
Study3,1.78151816846681
Study3,3.23993502855036
Study3,1.93664113880674
Study3,2.81031252636856
Study3,1.68617791507435
Study3,3.15074782359745
Study3,3.63973823292683
Study3,5.3125747147591
Study3,5.21762024379765
Study3,1.8892123849887
Study3,3.56477078563062
Study3,2.83668644146682
Study3,3.98240489723866
Study3,2.11378805614961
Study3,3.42682115828353
Study3,2.35275928093926
Study3,3.26582009693603
Study3,2.18936444765498
Study3,2.74378912675232
Study3,3.31616229431216
Study3,3.21985635861987
Study3,3.26415955762922
Study3,3.48580049861585
Study3,4.05938169700556
Study3,4.63625230251345
Study3,2.3092588633558
Study3,3.21125304999542
Study3,2.9117596093093
Study3,2.21100895035351
Study3,-0.236081440798822
Study3,2.60284133617689
Study3,2.25674039182715
Study3,2.05691523466896
Study3,1.54365669519413
Study3,1.03016893709849
Study3,3.15009369621148
Study3,0.869630354060469
Study3,2.25715550909362
Study3,6.46245161786315
Study3,3.71348408641841
Study3,2.06184942184897
Study3,3.78211155216216
Study3,2.60211201170418
Study3,8.93905342121383
Study3,3.87984474605668
Study3,3.66272035057291
Study3,5.79762550559498
Study3,2.10535797024041
Study3,2.22316267076649
Study3,3.55749191835247
Study3,2.36699040459115
Study3,2.12977576120473
Study3,2.41237082297819
Study3,1.88628292814446
Study3,2.83465781326221
Study3,1.30430788224938
Study3,3.05555226898889
Study3,2.57988133104962
Study3,-0.663314443461231
Study3,2.37265309037409
Study3,1.65480661980501
Study3,1.53989830602038
Study3,2.68807796594259
Study3,1.56478989444354
Study3,3.33273051758718
Study3,4.03833092075382
Study3,1.60873299322119
Study3,2.8477037313522
Study3,1.16333424652533
Study3,1.54171318194668
Study3,2.1122411968961
Study3,1.75304310671444
Study3,2.54298792216019
Study3,1.48327331252486
Study3,0.685562706737718
Study3,4.06798535624684
Study3,4.26664797842837
Study3,1.91352338459775
Study3,2.49389051612202
Study3,1.06167188757251
Study3,2.03631195245783
Study3,1.43957227795354
Study3,2.88818950050836
Study3,1.75664322974394
Study3,4.01905833276631
Study3,1.40947434144949
Study3,4.10990094651281
Study3,3.78102907884093
Study3,0.587799140840464
Study3,2.70369096325087
Study4,1.68799288166731
Study4,4.01382009918583
Study4,0.780597594748621
Study4,-0.609371022075004
Study4,0.335106486467973
Study4,2.18091638194254
Study4,0.512080021979904
Study4,1.98295927212608
Study4,2.59064861504376
Study4,0.974279356190925
Study4,1.3066648507449
Study4,-0.342559929997657
Study4,0.978727640468126
Study4,1.01908327480298
Study4,3.07210678159799
Study4,2.55558734000681
Study4,2.37562042694593
Study5,3.9218562154456
Study5,3.75399639773542
Study5,3.24963985938992
Study5,3.48343079147239
Study5,1.11697273963639
Study5,6.06699335533876
Study5,3.66653503816399
Study5,4.71046217909774
Study5,4.12554950148412
Study5,4.62004566305694
Study5,3.85637187037679
Study5,3.54134514896244
Study5,1.19800890494069
Study5,5.3567442494522
Study5,4.34303161192654
Study5,2.19143344053128
Study5,3.3102087443928
Study5,3.47732246912576
Study5,3.04038616718999
Study5,4.43943137362109
Study5,3.98934976904446
Study5,3.95872309041743
Study5,1.23068104994346
Study5,3.30649431055365
Study5,4.68488192479988
Study5,-2.28475520693776
Study5,2.65772756016625
Study5,4.1511790291854
Study5,2.42623510772382
Study5,3.00041847332637
Study5,3.94800610495757
Study5,3.34466874094067
Study5,3.18056355432917
Study5,4.12660367847228
Study5,5.1605884613002
Study5,2.59930635741884
Study5,3.98842004640896
Study5,3.15862199904785
Study5,4.60544414328002
Study5,3.48154373336091
Study5,5.70918181729677
Study5,5.94069751584279
Study5,3.82143457479115
Study5,3.22431989601642
Study5,2.45821203328893
Study5,3.00245037976811
Study5,2.73474019321215
Study5,4.11193393117987
Study5,2.64132208873799
Study5,7.71383699386251
Study6,3.13146092159975
Study6,1.60037743183185
Study6,1.55650215571329
Study6,1.16846443109256
Study6,1.2671158373585
Study6,2.09265394344188
Study6,1.99324102577021
Study6,3.80075441567222
Study6,1.29920854025742
Study6,0.321637897705179
Study6,3.00878663463972
Study6,0.87858509348622
Study6,2.71478591885237
Study6,4.99992006322807
Study6,0.895482394491487
Study6,0.844463743568278
Study6,3.59061909509444
Study6,1.38748206627246
Study6,1.04998568338341
Study7,-0.892356283469231
Study7,0.789213613420419
Study7,2.49127958876108
Study7,3.51369811080236
Study7,1.08130015055947
Study7,1.33040076946114
Study7,2.2009505919438
Study7,1.64893495890911
Study7,0.676847228285513
Study7,2.10331974076861
Study7,0.532627652504944
Study7,2.31031968780017
Study7,0.197693736519878
Study7,3.49426568728739
Study7,2.79310067809985
Study7,3.33615935779313
Study7,2.94133008119035
Study7,1.7564099794207
Study7,3.70934919983231
Study7,2.60381126319353
Study7,0.859920338722988
Study7,1.92713045263429
Study7,0.761949840317208
Study7,3.44268704098702
Study7,1.11881110308018
Study7,2.98826676311706
Study7,1.1601617372567
Study7,3.15363063037514
Study7,2.82752294693032
Study8,1.18602365285338
Study8,2.39007995066042
Study8,1.41338442202439
Study8,3.17036165287797
Study8,1.77226242282899
Study8,3.45079182924536
Study8,3.9618913078579
Study8,1.74995643641014
Study8,2.54175683097664
Study8,0.808374054155276
Study8,4.34090219141591
Study8,2.01879756189378
Study8,0.678358042250585
Study8,3.20893967823259
Study8,2.79752408317947
Study8,2.89492835507074
Study8,-0.0869876095988518
Study8,4.97951223228898
Study8,3.45852433085405
Study8,3.11159603154677
Study8,2.07563933732995
Study8,4.84070449625638
Study8,3.18400018096457
Study8,1.94064801741627
Study8,3.52530400385731
Study8,2.43668725444705
