study,nps,pain
Study1,1.56791302396946,9.81073832949767
Study1,4.6168528541567,9.61943285459084
Study1,2.93179625538526,11.8941205521916
Study1,4.06914412871652,10.8605633551464
Study1,2.81069922355136,10.2496624655241
Study1,1.91909013382003,9.18290235107472
Study1,2.26244589877117,13.3696778182975
Study1,2.26702305035423,12.3998345609307
Study1,2.93450678847971,12.0511195580573
Study1,1.02182258915127,10.4159058471612
Study1,0.454762231028301,12.3414715758564
Study1,0.775125708529483,11.1533466486526
Study1,0.663267800052628,11.7840459315216
Study1,2.12334330786906,10.7542632439311
Study1,4.80707420486604,10.552261859569
Study1,3.62144025373576,9.31442799220018
Study1,3.11378508595651,11.5252656620269
Study1,2.51358091917272,10.9592091789167
Study1,2.24756870421175,10.4561337906505
Study1,1.0679587912128,11.460786368886
Study1,2.35359623233935,9.69694662970468
Study1,2.62100181850204,9.343848932845
Study1,3.23199510526883,9.63115315048434
Study1,1.70230411075129,9.73402422585393
Study1,1.96876536406772,10.5264095361332
Study1,0.388836743083378,11.9136807757436
Study1,2.51259172278894,8.80455380369108
Study1,4.8303409993887,10.8588036268118
Study1,-0.0632764119005489,8.88054902813247
Study1,3.70732809500039,10.5628613896031
Study1,2.58073651470134,11.224337784184
Study1,0.377467480549875,10.1878672054256
Study1,1.8093310641139,14.5570221328375
Study2,2.22696419424457,7.74741707629817
Study2,3.32294174217598,5.5202155930593
Study2,3.233490072385,6.4020192076798
Study2,4.73514797784755,8.43512382370005
Study2,4.26773478408278,9.02473355076404
Study2,4.47162668100759,5.78525703745601
Study2,4.66834372147805,7.34572779778784
Study2,2.17433319796608,6.68369886710409
Study2,5.16139428204321,4.88550518564099
Study2,3.58277762808846,6.68334378851727
Study2,3.88955225876058,7.99293321030201
Study2,3.22935567613988,8.48290864202683
Study2,4.23845065675691,4.72626827716663
Study2,2.32113364519515,5.83683643754898
Study2,2.45280776913761,6.79506352997392
Study2,3.35250523855366,6.01225618493085
Study2,2.76280033781526,5.49110521865986
Study2,1.52850551012679,4.27304512853256
Study2,2.67361799959159,5.31113907800231
Study2,5.79502221919726,4.57581580707971
Study2,6.12171325258532,8.26853770423069
Study2,3.39620428754064,6.04258762922511
Study2,2.17601598800311,7.30774019676169
Study2,2.43218529611975,6.47579434550134
Study2,1.40165403909064,6.48290931440198
Study2,1.23536238429739,5.63608702260795
Study2,3.50357311395788,6.93691612275156
Study2,2.65876173396303,6.16497587531647
Study3,2.69249808266737,3.94847515415363
Study3,3.30985735299963,2.32172725795955
Study3,4.31469911367575,5.38836687305707
Study3,1.78151816846681,1.18551608266072
Study3,3.23993502855036,2.2827858025275
Study3,1.93664113880674,3.44443454150715
Study3,2.81031252636856,4.51281221388867
Study3,1.68617791507435,1.94079189154595
Study3,3.15074782359745,3.45856652130015
Study3,3.63973823292683,4.9331107519442
Study3,5.3125747147591,6.08742880673999
Study3,5.21762024379765,4.84130223305665
Study3,1.8892123849887,2.4840880035986
Study3,3.56477078563062,4.26220510548685
Study3,2.83668644146682,3.29057092910125
Study3,3.98240489723866,2.62477971357362
Study3,2.11378805614961,3.51854892440124
Study3,3.42682115828353,3.85960070344705
Study3,2.35275928093926,2.22594383940144
Study3,3.26582009693603,1.63993774402017
Study3,2.18936444765498,2.21526634355537
Study3,2.74378912675232,3.7826599244875
Study3,3.31616229431216,2.70486093238351
Study3,3.21985635861987,1.82208326127366
Study3,3.26415955762922,2.48755146019908
Study3,3.48580049861585,3.56691169974279
Study3,4.05938169700556,5.32084741399811
Study3,4.63625230251345,3.95475603401462
Study3,2.3092588633558,4.08288598415855
Study3,3.21125304999542,2.71993504417903
Study3,2.9117596093093,1.72472962272024
Study3,2.21100895035351,2.69167108456187
Study3,-0.236081440798822,7.01448668117227
Study3,2.60284133617689,3.85394791149423
Study3,2.25674039182715,3.91361627060784
